herdTypeID;HerdTypeName;latDurFreq;SubDurFreq;CliDurFreq;K;RelSusceptibility;RiskDC;RiskAb;LamMRC;RiskMRC;LamLRC;RiskLRC;RiskWB
1;AO;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.14,0.38,0.8);1;1;rpert(n,0.001,0.0025,0.025);0.036;rpert(n,0.005,0.0075,0.05);0.22;rpert(n,0.001,0.0025,0.025);rpert(n,0.001,0.0025,0.025)
2;Orne;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.0025,0.025);0.036;rpert(n,0.005,0.0075,0.05);0.22;rpert(n,0.001,0.0025,0.025);rpert(n,0.001,0.0025,0.025)
3;Quarantine;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.0025,0.025);0.036;rpert(n,0.005,0.0075,0.05);0.22;rpert(n,0.001,0.0025,0.025);rpert(n,0.001,0.0025,0.025)
4;Backyard;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.005,0.05);0.036;rpert(n,0.005,0.015,0.1);0.22;rpert(n,0.001,0.005,0.05);rpert(n,0.1,0.2,0.5)
5;SPFHob;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.0025,0.025);0.0027;rpert(n,0.005,0.0075,0.05);0.1837;rpert(n,0.001,0.0025,0.025);rpert(n,0.1,0.2,0.4)
6;ConHob;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.005,0.05);0.0027;rpert(n,0.005,0.015,0.1);0.1837;rpert(n,0.001,0.005,0.05);rpert(n,0.1,0.2,0.4)
7;SPFProd;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.14,0.38,0.8);1;1;rpert(n,0.001,0.0025,0.025);0.036;rpert(n,0.005,0.0075,0.05);0.22;rpert(n,0.001,0.0025,0.025);rpert(n,0.001,0.0025,0.025)
8;ConProd;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.14,0.38,0.8);1;1;rpert(n,0.001,0.005,0.05);0.036;rpert(n,0.005,0.015,0.1);0.22;rpert(n,0.001,0.005,0.05);rpert(n,0.001,0.005,0.05)
9;SPFEco;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.14,0.38,0.8);1;1;rpert(n,0.001,0.0025,0.025);0.036;rpert(n,0.005,0.0075,0.05);0.22;rpert(n,0.001,0.0025,0.025);rpert(n,0.1,0.3,0.5)
10;ConEco;c(0.48,0.45,0.05,0.014,0.005,0.0005,0.0003,0.0002);c(0.80,0.1809,0.015,0.001,0.0005,0.003,0.001,0.00001);c(0.01,0.03,0.10,0.3,0.3,0.15,0.06,0.05);rpert(n,0.36,0.6,0.93);1;1;rpert(n,0.001,0.005,0.05);0.036;rpert(n,0.005,0.015,0.1);0.22;rpert(n,0.001,0.005,0.05);rpert(n,0.1,0.3,0.5)
